Region,Incident_Date,Year,Reported_Month,Number_Dead,Minimum_Estimated_Number_of_Missing,Total Number_of_Dead_and_Missing,Number_of_Survivors,Number_of_Females,Number_of_Males,Number_of_Children,Cause_of_Death
Mediterranean,"Sun, 01/02/2022 - 12:00",2022,January,1.0,0.0,1,0.0,0.0,0.0,1.0,Drowning
Mediterranean,"Mon, 01/03/2022 - 12:00",2022,January,3.0,8.0,11,3.0,0.0,0.0,0.0,Drowning
Southern Africa,"Mon, 01/03/2022 - 12:00",2022,January,3.0,3.0,6,2.0,0.0,6.0,0.0,Drowning
Mediterranean,"Mon, 01/03/2022 - 12:00",2022,January,3.0,14.0,17,16.0,1.0,0.0,1.0,Drowning
Southern Asia,"Sat, 01/01/2022 - 12:00",2022,January,1.0,0.0,1,2.0,1.0,0.0,0.0,"Harsh environmental conditions / lack of adequate shelter, food, water"
Southern Asia,"Tue, 01/04/2022 - 12:00",2022,January,8.0,0.0,8,16.0,0.0,0.0,0.0,Vehicle accident / death linked to hazardous transport
Mediterranean,"Tue, 01/11/2022 - 12:00",2022,January,1.0,0.0,1,0.0,1.0,0.0,0.0,Drowning
Mediterranean,"Wed, 01/12/2022 - 12:00",2022,January,1.0,0.0,1,0.0,0.0,1.0,0.0,Drowning
Europe,"Mon, 01/10/2022 - 12:00",2022,January,1.0,0.0,1,0.0,0.0,0.0,0.0,Vehicle accident / death linked to hazardous transport
Central America,"Sat, 01/01/2022 - 12:00",2022,January,1.0,0.0,1,0.0,0.0,1.0,0.0,Violence
Central America,"Tue, 01/04/2022 - 12:00",2022,January,1.0,0.0,1,0.0,0.0,1.0,0.0,Sickness / lack of access to adequate healthcare
Central America,"Tue, 01/04/2022 - 12:00",2022,January,1.0,0.0,1,0.0,0.0,1.0,0.0,Drowning
Europe,"Fri, 01/14/2022 - 12:00",2022,January,1.0,0.0,1,30.0,0.0,1.0,0.0,Drowning
North America,"Wed, 01/12/2022 - 12:00",2022,January,1.0,0.0,1,0.0,0.0,1.0,0.0,Sickness / lack of access to adequate healthcare
Western Asia,"Sun, 01/16/2022 - 12:00",2022,January,2.0,0.0,2,0.0,1.0,1.0,0.0,"Harsh environmental conditions / lack of adequate shelter, food, water"
Northern Africa,"Sun, 01/16/2022 - 12:00",2022,January,2.0,41.0,43,10.0,13.0,0.0,3.0,Drowning
Northern Africa,"Sun, 01/16/2022 - 12:00",2022,January,1.0,0.0,1,0.0,0.0,1.0,1.0,Drowning
Northern Africa,"Mon, 01/17/2022 - 12:00",2022,January,1.0,0.0,1,0.0,1.0,0.0,1.0,Drowning
Central America,"Tue, 01/18/2022 - 12:00",2022,January,1.0,0.0,1,0.0,1.0,0.0,1.0,Drowning
Mediterranean,"Mon, 01/17/2022 - 12:00",2022,January,2.0,0.0,2,0.0,0.0,2.0,0.0,Mixed or unknown
Mediterranean,"Mon, 01/10/2022 - 12:00",2022,January,1.0,0.0,1,0.0,0.0,0.0,0.0,Drowning
Mediterranean,"Tue, 01/18/2022 - 12:00",2022,January,1.0,0.0,1,9.0,0.0,1.0,0.0,Drowning
Mediterranean,"Wed, 01/19/2022 - 12:00",2022,January,0.0,1.0,1,0.0,0.0,0.0,0.0,Drowning
North America,"Fri, 01/07/2022 - 12:00",2022,January,1.0,0.0,1,0.0,0.0,1.0,0.0,Drowning
South America,"Mon, 01/10/2022 - 12:00",2022,January,1.0,0.0,1,0.0,0.0,1.0,0.0,Violence
Mediterranean,"Thu, 01/20/2022 - 12:00",2022,January,1.0,10.0,11,21.0,0.0,0.0,0.0,Drowning
Mediterranean,"Fri, 01/21/2022 - 12:00",2022,January,3.0,0.0,3,36.0,0.0,3.0,0.0,Drowning
Mediterranean,"Fri, 01/21/2022 - 12:00",2022,January,1.0,0.0,1,0.0,0.0,1.0,0.0,Drowning
Europe,"Wed, 01/12/2022 - 12:00",2022,January,1.0,0.0,1,0.0,0.0,1.0,0.0,Drowning
Europe,"Thu, 01/13/2022 - 12:00",2022,January,1.0,0.0,1,0.0,1.0,0.0,0.0,Drowning
South-eastern Asia,"Mon, 01/17/2022 - 12:00",2022,January,6.0,0.0,6,5.0,6.0,0.0,0.0,Drowning
South-eastern Asia,"Thu, 01/20/2022 - 12:00",2022,January,1.0,6.0,7,19.0,2.0,0.0,0.0,Drowning
South America,"Thu, 01/13/2022 - 12:00",2022,January,1.0,0.0,1,0.0,0.0,1.0,0.0,Mixed or unknown
Central America,"Tue, 01/18/2022 - 12:00",2022,January,1.0,0.0,1,0.0,1.0,0.0,1.0,Drowning
Central America,"Wed, 01/19/2022 - 12:00",2022,January,1.0,0.0,1,0.0,1.0,0.0,0.0,Vehicle accident / death linked to hazardous transport
Mediterranean,"Fri, 01/21/2022 - 12:00",2022,January,0.0,9.0,9,100.0,0.0,0.0,0.0,Drowning
Mediterranean,"Sun, 01/23/2022 - 12:00",2022,January,1.0,0.0,1,0.0,0.0,0.0,0.0,Drowning
North America,"Thu, 01/20/2022 - 12:00",2022,January,4.0,0.0,4,5.0,2.0,2.0,2.0,"Harsh environmental conditions / lack of adequate shelter, food, water"
Mediterranean,"Mon, 01/03/2022 - 12:00",2022,January,1.0,0.0,1,0.0,0.0,0.0,0.0,Drowning
Northern Africa,"Wed, 01/05/2022 - 12:00",2022,January,2.0,0.0,2,103.0,0.0,0.0,0.0,Drowning
Mediterranean,"Mon, 01/24/2022 - 12:00",2022,January,7.0,0.0,7,280.0,0.0,7.0,0.0,"Harsh environmental conditions / lack of adequate shelter, food, water"
Northern Africa,"Tue, 01/25/2022 - 12:00",2022,January,0.0,18.0,18,9.0,0.0,0.0,0.0,Drowning
Caribbean,"Tue, 01/25/2022 - 12:00",2022,January,0.0,35.0,35,1.0,0.0,0.0,0.0,Drowning
Caribbean,"Tue, 01/25/2022 - 12:00",2022,January,0.0,3.0,3,0.0,0.0,2.0,0.0,Drowning
Caribbean,"Tue, 01/25/2022 - 12:00",2022,January,0.0,1.0,1,0.0,1.0,0.0,0.0,Drowning
Mediterranean,"Sun, 01/23/2022 - 12:00",2022,January,1.0,0.0,1,0.0,1.0,0.0,0.0,Drowning
Mediterranean,"Mon, 01/24/2022 - 12:00",2022,January,1.0,0.0,1,0.0,1.0,0.0,0.0,Drowning
Mediterranean,"Sun, 01/16/2022 - 12:00",2022,January,1.0,0.0,1,0.0,1.0,0.0,0.0,Drowning
Mediterranean,"Thu, 01/27/2022 - 12:00",2022,January,6.0,30.0,36,34.0,0.0,0.0,0.0,Drowning
Europe,"Tue, 01/25/2022 - 12:00",2022,January,1.0,0.0,1,0.0,1.0,0.0,0.0,Vehicle accident / death linked to hazardous transport
South America,"Sun, 01/23/2022 - 12:00",2022,January,1.0,0.0,1,0.0,0.0,1.0,0.0,Violence
South America,"Mon, 01/24/2022 - 12:00",2022,January,1.0,0.0,1,0.0,0.0,1.0,0.0,"Harsh environmental conditions / lack of adequate shelter, food, water"
Central America,"Sat, 01/22/2022 - 12:00",2022,January,2.0,0.0,2,6.0,0.0,0.0,0.0,Vehicle accident / death linked to hazardous transport
Caribbean,"Fri, 01/28/2022 - 12:00",2022,January,0.0,15.0,15,12.0,0.0,0.0,0.0,Drowning
Mediterranean,"Wed, 01/26/2022 - 12:00",2022,January,1.0,0.0,1,0.0,0.0,0.0,0.0,Drowning
Mediterranean,"Thu, 01/27/2022 - 12:00",2022,January,1.0,0.0,1,0.0,0.0,0.0,0.0,Drowning
Mediterranean,"Fri, 01/28/2022 - 12:00",2022,January,2.0,26.0,28,6.0,0.0,0.0,0.0,Drowning
Mediterranean,"Fri, 01/28/2022 - 12:00",2022,January,0.0,3.0,3,0.0,0.0,0.0,0.0,Drowning
Mediterranean,"Fri, 01/28/2022 - 12:00",2022,January,1.0,0.0,1,0.0,1.0,0.0,0.0,Drowning
Mediterranean,"Fri, 01/28/2022 - 12:00",2022,January,2.0,0.0,2,0.0,0.0,2.0,0.0,Drowning
Mediterranean,"Mon, 01/31/2022 - 12:00",2022,January,0.0,1.0,1,2.0,0.0,1.0,0.0,Drowning
Mediterranean,"Wed, 01/19/2022 - 12:00",2022,January,1.0,0.0,1,0.0,0.0,1.0,0.0,Sickness / lack of access to adequate healthcare
Mediterranean,"Sun, 01/30/2022 - 12:00",2022,January,1.0,0.0,1,0.0,0.0,0.0,0.0,Drowning
Northern Africa,"Mon, 01/24/2022 - 12:00",2022,January,3.0,0.0,3,0.0,0.0,0.0,3.0,"Harsh environmental conditions / lack of adequate shelter, food, water"
Northern Africa,"Sun, 01/30/2022 - 12:00",2022,January,1.0,0.0,1,0.0,1.0,0.0,0.0,"Harsh environmental conditions / lack of adequate shelter, food, water"
Western Asia,"Wed, 02/02/2022 - 12:00",2022,February,13.0,0.0,13,3.0,0.0,13.0,0.0,"Harsh environmental conditions / lack of adequate shelter, food, water"
Western Asia,"Wed, 02/02/2022 - 12:00",2022,February,5.0,0.0,5,0.0,0.0,5.0,0.0,"Harsh environmental conditions / lack of adequate shelter, food, water"
Western Asia,"Wed, 02/02/2022 - 12:00",2022,February,1.0,0.0,1,0.0,0.0,1.0,0.0,"Harsh environmental conditions / lack of adequate shelter, food, water"
South-eastern Asia,"Fri, 01/14/2022 - 12:00",2022,January,4.0,0.0,4,14.0,0.0,0.0,0.0,Drowning
Northern Africa,"Wed, 02/02/2022 - 12:00",2022,February,1.0,16.0,17,41.0,0.0,0.0,0.0,Drowning
Europe,"Tue, 02/01/2022 - 12:00",2022,February,1.0,0.0,1,0.0,0.0,1.0,0.0,Vehicle accident / death linked to hazardous transport
Mediterranean,"Fri, 02/04/2022 - 12:00",2022,February,1.0,0.0,1,0.0,0.0,1.0,0.0,Drowning
Europe,"Sun, 01/02/2022 - 12:00",2022,January,1.0,0.0,1,0.0,0.0,1.0,0.0,"Harsh environmental conditions / lack of adequate shelter, food, water"
Europe,"Wed, 01/26/2022 - 12:00",2022,January,1.0,0.0,1,0.0,0.0,1.0,1.0,Vehicle accident / death linked to hazardous transport
Caribbean,"Sun, 02/06/2022 - 12:00",2022,February,1.0,0.0,1,19.0,0.0,1.0,1.0,Violence
Mediterranean,"Tue, 02/01/2022 - 12:00",2022,February,2.0,0.0,2,7.0,0.0,0.0,0.0,Drowning
Southern Africa,"Mon, 01/31/2022 - 12:00",2022,January,1.0,0.0,1,0.0,0.0,1.0,0.0,Violence
South America,"Sun, 01/30/2022 - 12:00",2022,January,1.0,0.0,1,0.0,0.0,1.0,0.0,Drowning
North America,"Fri, 01/28/2022 - 12:00",2022,January,1.0,0.0,1,0.0,0.0,1.0,0.0,Vehicle accident / death linked to hazardous transport
North America,"Tue, 02/01/2022 - 12:00",2022,February,1.0,0.0,1,0.0,0.0,1.0,0.0,Vehicle accident / death linked to hazardous transport
Western Asia,"Sat, 01/08/2022 - 12:00",2022,January,0.0,2.0,2,0.0,0.0,0.0,0.0,Drowning
South-eastern Asia,"Fri, 01/28/2022 - 12:00",2022,January,1.0,0.0,1,8.0,0.0,1.0,0.0,Violence
Northern Africa,"Mon, 02/07/2022 - 12:00",2022,February,0.0,3.0,3,65.0,0.0,0.0,0.0,Drowning
North America,"Mon, 01/31/2022 - 12:00",2022,January,8.0,0.0,8,0.0,0.0,0.0,0.0,Mixed or unknown
Mediterranean,"Mon, 02/07/2022 - 12:00",2022,February,1.0,0.0,1,0.0,0.0,1.0,0.0,Drowning
